DATA	COD_ITEM	COD_VENDEDOR	VOLUME_META	RECEITA_META	VOLUME_FATURADO	RECEITA_FATURADO
7/3/2002	RC32	6	7	4130	7	4224
7/3/2002	RC32	23	13	7670	3	1520
7/3/2002	RC32	24	9	5310	2	1035
7/3/2002	RC32	28	5	2950	9	6004
7/3/2002	RC32	1004	15	8850	13	7591
7/3/2002	RC32	1020	3	1770	11	5650
7/3/2002	RC32	1033	13	7670	13	9564
8/3/2002	AC08	7	11	5610	19	10014
8/3/2002	AC08	13	1	510	11	6250
8/3/2002	AC08	16	8	4080	8	3566
8/3/2002	AC08	1004	9	4590	4	1768
8/3/2002	AC08	1019	9	4590	7	3259
8/3/2002	AC08	1032	14	7140	15	7012
8/3/2002	AC08	1033	11	5610	5	2915
8/3/2002	FB04	3	3	1575	7	3609
8/3/2002	FB04	1032	11	5775	13	5665
8/3/2002	FB06	23	2	1400	3	1894
8/3/2002	FB06	1004	1	700	6	5351
8/3/2002	FC04	18	9	2700	11	3340
8/3/2002	FC04	24	14	4200	15	6469
8/3/2002	FC04	1007	11	3300	2	510
8/3/2002	LB08	9	9	8100	10	10893
8/3/2002	LB08	23	13	11700	4	4190
8/3/2002	LB08	28	1	900	3	3299
8/3/2002	LB08	1007	4	3600	3	3130
8/3/2002	LB08	1032	6	5400	4	3351
8/3/2002	LC06	6	11	7040	2	1172
8/3/2002	LC06	14	8	5120	6	4493
8/3/2002	LC06	16	6	3840	5	3631
8/3/2002	RB38	2	4	3520	13	11290
8/3/2002	RB38	17	1	880	11	10496
8/3/2002	RB38	32	9	7920	14	14671
8/3/2002	RB38	1005	1	880	1	1004
8/3/2002	RB38	1017	12	10560	14	11379
8/3/2002	RB44	1	4	4600	4	3862
8/3/2002	RB44	2	3	3450	10	12495
8/3/2002	RB44	3	2	2300	13	13572
8/3/2002	RB44	9	3	3450	7	7894
8/3/2002	RB44	17	17	19550	14	17375
8/3/2002	RB44	18	1	1150	9	8364
8/3/2002	RB44	25	2	2300	11	14313
8/3/2002	RB44	1004	8	9200	7	7668
8/3/2002	RB44	1005	12	13800	7	8408
8/3/2002	RC27	1	3	1470	12	5347
8/3/2002	RC27	9	5	2450	2	933
8/3/2002	RC32	14	2	1180	12	6615
9/3/2002	AC08	5	14	7140	13	6606
9/3/2002	AC08	15	3	1530	4	2199
9/3/2002	AC08	17	10	5100	8	4883
9/3/2002	AC08	32	1	510	4	2280
9/3/2002	FB06	24	2	1400	3	1934
9/3/2002	FC04	7	6	1800	7	2486
9/3/2002	FC04	16	7	2100	14	5259
9/3/2002	FC04	1007	4	1200	9	2392
9/3/2002	FC04	1032	10	3000	4	1637
9/3/2002	FC04	1033	15	4500	17	5726
9/3/2002	LB08	7	9	8100	13	9752
9/3/2002	LB08	15	14	12600	12	12673
9/3/2002	LB08	16	5	4500	1	845
9/3/2002	LB08	24	9	8100	14	11433
9/3/2002	LB08	28	10	9000	7	7935
9/3/2002	LB08	1004	5	4500	3	2399
9/3/2002	LC06	1	4	2560	14	10594
9/3/2002	LC06	6	13	8320	14	10281
9/3/2002	LC06	13	2	1280	9	7426
9/3/2002	LC06	18	5	3200	2	1267
9/3/2002	LC06	32	5	3200	13	10996
9/3/2002	RB38	14	14	12320	22	23457
9/3/2002	RB38	28	9	7920	7	6898
9/3/2002	RB44	5	13	14950	6	5831
9/3/2002	RB44	16	12	13800	15	15485
9/3/2002	RB44	29	6	6900	4	5256
9/3/2002	RB44	32	11	12650	10	13165
9/3/2002	RB44	1000	14	16100	11	14138
9/3/2002	RC27	1	22	10780	16	8284
9/3/2002	RC27	2	3	1470	19	9328
9/3/2002	RC27	6	6	2940	11	6098
9/3/2002	RC27	9	10	4900	15	8573
9/3/2002	RC27	14	13	6370	2	901
9/3/2002	RC27	15	12	5880	15	7813
9/3/2002	RC27	17	11	5390	14	6192
9/3/2002	RC27	18	14	6860	15	7092
9/3/2002	RC27	25	11	5390	6	3192
9/3/2002	RC27	1005	3	1470	12	6453
9/3/2002	RC27	1033	14	6860	9	4149
10/3/2002	AC08	23	12	6120	4	2375
10/3/2002	AC08	28	8	4080	3	1386
10/3/2002	AC08	29	4	2040	14	8349
10/3/2002	AC08	1018	11	5610	15	6884
10/3/2002	FB04	1	11	5775	22	10030
10/3/2002	FB04	23	10	5250	9	5054
10/3/2002	FB04	1004	15	7875	6	2656
10/3/2002	FB04	1015	1	525	15	8399
10/3/2002	FB06	16	11	7700	4	3391
10/3/2002	FB06	25	9	6300	12	7957
10/3/2002	FC04	1	15	4500	7	2092
10/3/2002	FC04	5	11	3300	15	5002
10/3/2002	FC04	7	7	2100	12	3844
10/3/2002	FC04	13	2	600	8	2360
10/3/2002	FC04	14	3	900	7	2949
10/3/2002	FC04	16	1	300	15	4327
10/3/2002	FC04	25	4	1200	7	3000
10/3/2002	LB08	2	9	8100	6	5738
10/3/2002	LB08	9	6	5400	10	10391
10/3/2002	LB08	24	15	13500	4	3695
10/3/2002	LB08	28	7	6300	11	10052
10/3/2002	LB08	1032	15	13500	11	10330
10/3/2002	LC06	3	13	8320	8	5888
10/3/2002	LC06	5	5	3200	13	10064
10/3/2002	LC06	7	4	2560	7	4466
10/3/2002	LC06	13	6	3840	7	4929
10/3/2002	RB38	14	13	11440	5	4807
10/3/2002	RB38	1032	15	13200	14	11622
10/3/2002	RB44	6	6	6900	10	10371
10/3/2002	RB44	7	7	8050	6	7770
10/3/2002	RB44	18	11	12650	28	29046
10/3/2002	RB44	29	9	10350	12	15516
10/3/2002	RC27	6	2	980	10	5004
10/3/2002	RC27	9	4	1960	15	6360
10/3/2002	RC27	13	2	980	7	4016
10/3/2002	RC27	16	8	3920	10	5020
10/3/2002	RC27	29	11	5390	12	7060
10/3/2002	RC27	32	3	1470	5	2551
10/3/2002	RC27	1007	4	1960	3	1526
10/3/2002	RC27	1018	1	490	14	6373
10/3/2002	RC32	1	7	4130	6	4098
10/3/2002	RC32	3	6	3540	10	6795
10/3/2002	RC32	29	10	5900	14	8063
10/3/2002	RC32	1015	3	1770	3	2185
11/3/2002	AC08	24	15	7650	7	4332
11/3/2002	AC08	1004	6	3060	9	5398
11/3/2002	AC08	1007	17	8670	16	9523
11/3/2002	AC08	1016	7	3570	6	3292
11/3/2002	FB04	1	4	2100	6	3649
11/3/2002	FB04	1033	8	4200	13	7486
11/3/2002	FB06	7	3	2100	14	8926
11/3/2002	FB06	18	10	7000	15	10657
11/3/2002	FC04	13	12	3600	11	4643
11/3/2002	FC04	18	14	4200	8	2986
11/3/2002	FC04	32	3	900	14	3954
11/3/2002	LB08	7	11	9900	18	16342
11/3/2002	LB08	17	11	9900	14	11903
11/3/2002	LC06	2	15	9600	4	3041
11/3/2002	LC06	13	15	9600	8	5048
11/3/2002	LC06	17	14	8960	10	7067
11/3/2002	LC06	1000	5	3200	9	7145
11/3/2002	LC06	1032	15	9600	7	4607
11/3/2002	RB38	6	16	14080	12	12668
11/3/2002	RB38	23	2	1760	7	6518
11/3/2002	RB38	28	2	1760	3	2814
11/3/2002	RB38	32	11	9680	3	2601
11/3/2002	RB38	1007	13	11440	3	2602
11/3/2002	RB38	1032	7	6160	10	9673
11/3/2002	RB44	3	8	9200	15	18859
11/3/2002	RB44	25	5	5750	4	3683
11/3/2002	RB44	1007	3	3450	10	10702
11/3/2002	RC27	7	6	2940	15	6362
11/3/2002	RC27	14	4	1960	7	3749
11/3/2002	RC27	17	14	6860	9	4386
11/3/2002	RC27	23	3	1470	12	7058
11/3/2002	RC32	5	14	8260	10	6371
11/3/2002	RC32	6	9	5310	3	2157
11/3/2002	RC32	9	15	8850	23	12919
11/3/2002	RC32	14	14	8260	10	6599
11/3/2002	RC32	16	11	6490	12	8997
11/3/2002	RC32	23	11	6490	10	6811
11/3/2002	RC32	28	7	4130	6	3934
11/3/2002	RC32	32	3	1770	4	2346
11/3/2002	RC32	1004	13	7670	6	4160
11/3/2002	RC32	1005	3	1770	14	9015
11/3/2002	RC32	1007	14	8260	1	505
11/3/2002	RC32	1032	10	5900	8	4500
12/3/2002	AC08	2	7	3570	3	1826
12/3/2002	AC08	13	5	2550	12	5468
12/3/2002	AC08	15	14	7140	4	1818
12/3/2002	AC08	16	11	5610	7	4324
12/3/2002	AC08	17	11	5610	3	1723
12/3/2002	AC08	23	5	2550	5	2865
12/3/2002	AC08	32	13	6630	11	6852
12/3/2002	AC08	1005	11	5610	7	4132
12/3/2002	FB04	6	5	2625	14	6031
12/3/2002	FB04	17	4	2100	13	7414
12/3/2002	FB04	25	13	6825	9	3640
12/3/2002	FB06	1004	7	4900	15	11333
12/3/2002	FC04	3	7	2100	9	3498
12/3/2002	FC04	9	13	3900	10	4175
12/3/2002	FC04	14	4	1200	5	1382
12/3/2002	FC04	15	2	600	3	859
12/3/2002	FC04	16	9	2700	9	2935
12/3/2002	FC04	29	1	300	12	3545
12/3/2002	LB08	3	8	7200	5	4534
12/3/2002	LB08	6	9	8100	4	3789
12/3/2002	LB08	16	4	3600	5	4802
12/3/2002	LB08	1004	10	9000	3	2296
12/3/2002	LB08	1005	2	1800	9	8040
12/3/2002	LC06	18	15	9600	8	5873
12/3/2002	LC06	28	11	7040	11	9528
12/3/2002	LC06	1007	6	3840	8	4758
12/3/2002	RB38	6	15	13200	7	7407
12/3/2002	RB38	28	15	13200	11	9957
12/3/2002	RB44	3	14	16100	7	8181
12/3/2002	RB44	5	5	5750	4	3992
12/3/2002	RB44	13	14	16100	17	16697
12/3/2002	RB44	16	13	14950	2	2064
12/3/2002	RB44	23	11	12650	11	10327
12/3/2002	RB44	28	11	12650	12	15728
12/3/2002	RB44	1007	12	13800	10	11147
12/3/2002	RC27	7	10	4900	7	3839
12/3/2002	RC27	14	3	1470	10	4373
12/3/2002	RC27	23	7	3430	14	6488
12/3/2002	RC32	2	8	4720	8	5690
12/3/2002	RC32	3	24	14160	33	20437
12/3/2002	RC32	5	10	5900	14	7455
12/3/2002	RC32	14	11	6490	11	7319
12/3/2002	RC32	28	13	7670	3	1889
12/3/2002	RC32	1033	8	4720	9	6005
12/3/2002	RC32	1264	14	8260	9	5174
13/3/2002	AC08	3	7	3570	11	5214
13/3/2002	AC08	13	8	4080	10	4530
13/3/2002	AC08	32	3	1530	14	8299
13/3/2002	AC08	1005	4	2040	11	5069
13/3/2002	AC08	1007	3	1530	13	6061
13/3/2002	AC08	1033	12	6120	6	3656
13/3/2002	FB04	24	1	525	11	4735
13/3/2002	FB06	14	9	6300	6	4981
13/3/2002	FB06	17	5	3500	10	7174
13/3/2002	FB06	24	5	3500	7	4784
13/3/2002	FB06	1005	7	4900	7	4498
13/3/2002	FB06	1032	10	7000	1	769
13/3/2002	FC04	3	6	1800	14	3683
13/3/2002	FC04	5	12	3600	7	2495
13/3/2002	FC04	6	15	4500	13	4591
13/3/2002	FC04	17	7	2100	7	2765
13/3/2002	FC04	24	11	3300	15	3911
13/3/2002	LB08	6	7	6300	13	11207
13/3/2002	LB08	9	2	1800	1	938
13/3/2002	LB08	15	8	7200	11	8785
13/3/2002	LB08	1005	2	1800	15	12255
13/3/2002	LC06	7	1	640	14	10751
13/3/2002	LC06	14	11	7040	11	8052
13/3/2002	LC06	23	9	5760	14	10250
13/3/2002	RB38	3	9	7920	2	1632
13/3/2002	RB38	29	11	9680	3	3185
13/3/2002	RB44	23	13	14950	6	5682
13/3/2002	RB44	25	9	10350	2	2258
13/3/2002	RB44	32	13	14950	7	8002
13/3/2002	RB44	1005	2	2300	13	11886
13/3/2002	RC27	15	14	6860	5	2634
13/3/2002	RC27	17	13	6370	19	9315
13/3/2002	RC27	1261	7	3430	11	5030
13/3/2002	RC32	25	4	2360	3	1880
13/3/2002	RC32	28	8	4720	14	7705
13/3/2002	RC32	1023	6	3540	15	9163
14/3/2002	AC08	9	13	6630	2	1031
14/3/2002	AC08	13	14	7140	7	3818
14/3/2002	AC08	23	24	12240	4	2189
14/3/2002	AC08	1007	3	1530	13	6936
14/3/2002	FB04	1	7	3675	6	2459
14/3/2002	FB04	24	9	4725	3	1342
14/3/2002	FB06	29	10	7000	13	9197
14/3/2002	FB06	32	8	5600	4	3182
14/3/2002	FC04	2	6	1800	6	2285
14/3/2002	FC04	7	15	4500	10	3111
14/3/2002	FC04	1004	6	1800	9	3141
14/3/2002	LB08	7	22	19800	25	23157
14/3/2002	LB08	14	8	7200	3	2600
14/3/2002	LB08	25	3	2700	6	4653
14/3/2002	LC06	9	13	8320	6	4572
14/3/2002	LC06	13	8	5120	10	8530
14/3/2002	LC06	24	15	9600	2	1402
14/3/2002	LC06	32	2	1280	14	10222
14/3/2002	LC06	1000	13	8320	2	1439
14/3/2002	LC06	1032	9	5760	12	9151
14/3/2002	RB38	2	9	7920	9	9390
14/3/2002	RB38	24	6	5280	5	4834
14/3/2002	RB38	1005	7	6160	9	9556
14/3/2002	RB38	1007	4	3520	10	8996
14/3/2002	RB44	1	5	5750	11	10193
14/3/2002	RB44	6	6	6900	5	6587
14/3/2002	RB44	9	13	14950	5	6564
14/3/2002	RB44	16	9	10350	2	1852
14/3/2002	RB44	32	7	8050	14	15511
14/3/2002	RB44	1005	12	13800	3	3215
14/3/2002	RC27	5	10	4900	4	1773
14/3/2002	RC27	6	9	4410	3	1386
14/3/2002	RC27	23	9	4410	14	7520
14/3/2002	RC27	28	8	3920	14	7165
14/3/2002	RC27	1020	7	3430	12	6569
14/3/2002	RC32	2	12	7080	5	3144
14/3/2002	RC32	5	15	8850	10	7378
14/3/2002	RC32	6	12	7080	12	8685
14/3/2002	RC32	23	7	4130	14	10286
14/3/2002	RC32	28	3	1770	12	6731
14/3/2002	RC32	1004	14	8260	14	9765
14/3/2002	RC32	1007	4	2360	3	1946
14/3/2002	RC32	1032	11	6490	6	3629
15/3/2002	AC08	3	7	3570	9	4332
15/3/2002	AC08	14	9	4590	3	1785
15/3/2002	AC08	16	13	6630	3	1573
15/3/2002	AC08	1007	17	8670	11	6142
15/3/2002	FB04	2	12	6300	13	6740
15/3/2002	FB04	3	5	2625	10	5169
15/3/2002	FB04	7	9	4725	10	5651
15/3/2002	FB06	3	6	4200	12	7808
15/3/2002	FC04	18	11	3300	11	3667
15/3/2002	FC04	29	7	2100	1	402
15/3/2002	LB08	3	4	3600	4	4126
15/3/2002	LB08	13	11	9900	11	10325
15/3/2002	LB08	23	12	10800	9	9517
15/3/2002	LB08	1005	10	9000	8	7111
15/3/2002	LC06	1	14	8960	8	5345
15/3/2002	LC06	16	7	4480	6	3766
15/3/2002	LC06	18	13	8320	9	7452
15/3/2002	RB38	1	1	880	8	6894
15/3/2002	RB38	24	11	9680	12	11331
15/3/2002	RB44	3	18	20700	7	6743
15/3/2002	RB44	9	22	25300	21	26157
15/3/2002	RB44	32	9	10350	14	13863
15/3/2002	RB44	1004	8	9200	7	7267
15/3/2002	RC27	1	7	3430	5	2879
15/3/2002	RC27	3	4	1960	13	6751
15/3/2002	RC27	18	5	2450	5	2762
15/3/2002	RC27	29	3	1470	7	3412
15/3/2002	RC27	1004	2	980	14	5828
15/3/2002	RC32	3	3	1770	10	6314
15/3/2002	RC32	6	12	7080	11	8143
15/3/2002	RC32	23	9	5310	2	1441
16/3/2002	AC08	1	9	4590	4	2467
16/3/2002	AC08	28	14	7140	17	8865
16/3/2002	AC08	29	4	2040	13	6519
16/3/2002	FB04	23	8	4200	5	2333
16/3/2002	FB06	2	9	6300	3	2472
16/3/2002	FB06	15	8	5600	7	4467
16/3/2002	FB06	21	6	4200	6	4284
16/3/2002	FC04	3	10	3000	14	3876
16/3/2002	FC04	17	10	3000	11	3309
16/3/2002	FC04	18	3	900	4	1430
16/3/2002	FC04	23	2	600	4	1724
16/3/2002	FC04	24	15	4500	3	1110
16/3/2002	FC04	28	11	3300	6	1935
16/3/2002	FC04	1005	9	2700	8	3413
16/3/2002	LB08	2	10	9000	6	5440
16/3/2002	LB08	13	15	13500	3	2570
16/3/2002	LB08	25	4	3600	15	13439
